probe_id,gene_symbol,gene_title,entrez_gene_id,primary_gene_symbol
210162_s_at,NFATC1,nuclear factor of activated T-cells 1,4772,NFATC1
210163_at,CXCL11,C-X-C motif chemokine ligand 11,6373,CXCL11
210164_at,GZMB,granzyme B,3002,GZMB
210165_at,DNASE1,deoxyribonuclease 1,1773,DNASE1
210166_at,TLR5,toll like receptor 5,7100,TLR5
210167_s_at,TEF,"TEF, PAR bZIP transcription factor",7008,TEF
210168_at,C6,complement component 6,729,C6
210169_at,SEC14L5,SEC14 like lipid binding 5,9717,SEC14L5
210170_at,PDLIM3,PDZ and LIM domain 3,27295,PDLIM3
210171_s_at,CREM,cAMP responsive element modulator,1390,CREM
210172_at,SF1,splicing factor 1,7536,SF1
210173_at,PTPRJ,"protein tyrosine phosphatase, receptor type J",5795,PTPRJ
210174_at,NR5A2,nuclear receptor subfamily 5 group A member 2,2494,NR5A2
210175_at,GCFC2,GC-rich sequence DNA-binding factor 2,6936,GCFC2
210176_at,TLR1,toll like receptor 1,7096,TLR1
210177_at,TRIM15,tripartite motif containing 15,89870,TRIM15
210178_x_at,SRSF10,serine and arginine rich splicing factor 10,10772,SRSF10
210179_at,KCNJ13,potassium voltage-gated channel subfamily J member 13,3769,KCNJ13
210180_s_at,TRA2B,transformer 2 beta homolog (Drosophila),6434,TRA2B
210181_s_at,CABP1,calcium binding protein 1,9478,CABP1
210182_at,CORT,cortistatin,1325,CORT
210183_x_at,PNN,"pinin, desmosome associated protein",5411,PNN
210184_at,ITGAX,integrin subunit alpha X,3687,ITGAX
210185_at,CACNB1,calcium voltage-gated channel auxiliary subunit beta 1,782,CACNB1
210186_s_at,LOC101929368///FKBP1A,uncharacterized LOC101929368///FK506 binding protein 1A,101929368///2280,LOC101929368
210187_at,LOC101929368///FKBP1A,uncharacterized LOC101929368///FK506 binding protein 1A,101929368///2280,LOC101929368
210188_at,GABPA,GA binding protein transcription factor alpha subunit,2551,GABPA
210189_at,HSPA1L,heat shock protein family A (Hsp70) member 1 like,3305,HSPA1L
210190_at,STX11,syntaxin 11,8676,STX11
210191_s_at,PHTF1,putative homeodomain transcription factor 1,10745,PHTF1
210192_at,ATP8A1,ATPase phospholipid transporting 8A1,10396,ATP8A1
210193_at,MOBP,myelin-associated oligodendrocyte basic protein,4336,MOBP
210194_at,PLA2R1,phospholipase A2 receptor 1,22925,PLA2R1
210195_s_at,PSG1,pregnancy specific beta-1-glycoprotein 1,5669,PSG1
210196_s_at,PSG1,pregnancy specific beta-1-glycoprotein 1,5669,PSG1
210197_at,ITPK1,inositol-tetrakisphosphate 1-kinase,3705,ITPK1
210198_s_at,PLP1,proteolipid protein 1,5354,PLP1
210199_at,CRYAA,crystallin alpha A,1409,CRYAA
210200_at,WWP2,WW domain containing E3 ubiquitin protein ligase 2,11060,WWP2
210201_x_at,BIN1,bridging integrator 1,274,BIN1
210202_s_at,BIN1,bridging integrator 1,274,BIN1
210203_at,CNOT4,CCR4-NOT transcription complex subunit 4,4850,CNOT4
210204_s_at,CNOT4,CCR4-NOT transcription complex subunit 4,4850,CNOT4
210205_at,B3GALT4,"beta-1,3-galactosyltransferase 4",8705,B3GALT4
210206_s_at,DDX11,DEAD/H-box helicase 11,1663,DDX11
210208_x_at,BAG6,BCL2 associated athanogene 6,7917,BAG6
210210_at,MPZL1,myelin protein zero like 1,9019,MPZL1
210211_s_at,HSP90AA1,heat shock protein 90 alpha family class A member 1,3320,HSP90AA1
210212_x_at,CMC4,C-X9-C motif containing 4,100272147,CMC4
210213_s_at,EIF6,eukaryotic translation initiation factor 6,3692,EIF6
210214_s_at,BMPR2,bone morphogenetic protein receptor type 2,659,BMPR2
210215_at,TFR2,transferrin receptor 2,7036,TFR2
210216_x_at,RAD1,RAD1 checkpoint DNA exonuclease,5810,RAD1
210218_s_at,SP100,SP100 nuclear antigen,6672,SP100
210219_at,SP100,SP100 nuclear antigen,6672,SP100
210220_at,FZD2,frizzled class receptor 2,2535,FZD2
210221_at,CHRNA3,cholinergic receptor nicotinic alpha 3 subunit,1136,CHRNA3
210222_s_at,RTN1,reticulon 1,6252,RTN1
210223_s_at,MR1,"major histocompatibility complex, class I-related",3140,MR1
210224_at,MR1,"major histocompatibility complex, class I-related",3140,MR1
210225_x_at,LILRB3,leukocyte immunoglobulin like receptor B3,11025,LILRB3
210226_at,NR4A1,nuclear receptor subfamily 4 group A member 1,3164,NR4A1
210227_at,DLGAP2,DLG associated protein 2,9228,DLGAP2
210228_at,CSF2,colony stimulating factor 2,1437,CSF2
210229_s_at,CSF2,colony stimulating factor 2,1437,CSF2
210230_at,,,,
210231_x_at,SET,SET nuclear proto-oncogene,6418,SET
210232_at,CDC42,cell division cycle 42,998,CDC42
210233_at,IL1RAP,interleukin 1 receptor accessory protein,3556,IL1RAP
210234_at,GRM4,glutamate metabotropic receptor 4,2914,GRM4
210235_s_at,PPFIA1,PTPRF interacting protein alpha 1,8500,PPFIA1
210236_at,PPFIA1,PTPRF interacting protein alpha 1,8500,PPFIA1
210237_at,ARTN,artemin,9048,ARTN
210239_at,IRX5,iroquois homeobox 5,10265,IRX5
210240_s_at,CDKN2D,cyclin dependent kinase inhibitor 2D,1032,CDKN2D
210241_s_at,TP53TG1,TP53 target 1 (non-protein coding),11257,TP53TG1
210242_x_at,ST20,suppressor of tumorigenicity 20,400410,ST20
210243_s_at,B4GALT3,"beta-1,4-galactosyltransferase 3",8703,B4GALT3
210244_at,CAMP,cathelicidin antimicrobial peptide,820,CAMP
210245_at,ABCC8,ATP binding cassette subfamily C member 8,6833,ABCC8
210246_s_at,ABCC8,ATP binding cassette subfamily C member 8,6833,ABCC8
210247_at,SYN2,synapsin II,6854,SYN2
210248_at,WNT7A,Wnt family member 7A,7476,WNT7A
210249_s_at,NCOA1,nuclear receptor coactivator 1,8648,NCOA1
210250_x_at,ADSL,adenylosuccinate lyase,158,ADSL
210251_s_at,RUFY3,RUN and FYVE domain containing 3,22902,RUFY3
210252_s_at,MADD,MAP kinase activating death domain,8567,MADD
210253_at,HTATIP2,HIV-1 Tat interactive protein 2,10553,HTATIP2
210254_at,MS4A3,membrane spanning 4-domains A3,932,MS4A3
210255_at,RAD51B,RAD51 paralog B,5890,RAD51B
210256_s_at,PIP5K1A,phosphatidylinositol-4-phosphate 5-kinase type 1 alpha,8394,PIP5K1A
210257_x_at,CUL4B,cullin 4B,8450,CUL4B
210258_at,RGS13,regulator of G-protein signaling 13,6003,RGS13
210259_s_at,DLX4,distal-less homeobox 4,1748,DLX4
210260_s_at,TNFAIP8,TNF alpha induced protein 8,25816,TNFAIP8
210261_at,KCNK2,potassium two pore domain channel subfamily K member 2,3776,KCNK2
210262_at,CRISP2,cysteine rich secretory protein 2,7180,CRISP2
210263_at,KCNF1,potassium voltage-gated channel modifier subfamily F member 1,3754,KCNF1
210264_at,GPR35,G protein-coupled receptor 35,2859,GPR35
210265_x_at,POU5F1P3,POU class 5 homeobox 1 pseudogene 3,642559,POU5F1P3
210266_s_at,TRIM33,tripartite motif containing 33,51592,TRIM33
210267_at,NIPAL3,NIPA like domain containing 3,57185,NIPAL3
210268_at,NFX1,"nuclear transcription factor, X-box binding 1",4799,NFX1
210269_s_at,AKAP17A,A-kinase anchoring protein 17A,8227,AKAP17A
210270_at,RGS6,regulator of G-protein signaling 6,9628,RGS6
210271_at,NEUROD2,neuronal differentiation 2,4761,NEUROD2
210272_at,CYP2B7P,"cytochrome P450 family 2 subfamily B member 7, pseudogene",1556,CYP2B7P
210273_at,PCDH7,protocadherin 7,5099,PCDH7
210274_at,MAGEA8,MAGE family member A8,4107,MAGEA8
210275_s_at,ZFAND5,zinc finger AN1-type containing 5,7763,ZFAND5
210276_s_at,NOL12///TRIOBP,nucleolar protein 12///TRIO and F-actin binding protein,79159///11078,NOL12
210277_at,AP4S1,adaptor related protein complex 4 sigma 1 subunit,11154,AP4S1
210278_s_at,AP4S1,adaptor related protein complex 4 sigma 1 subunit,11154,AP4S1
210279_at,GPR18,G protein-coupled receptor 18,2841,GPR18
210280_at,MPZ,myelin protein zero,4359,MPZ
210281_s_at,ZMYM2,zinc finger MYM-type containing 2,7750,ZMYM2
210282_at,ZMYM2,zinc finger MYM-type containing 2,7750,ZMYM2
210283_x_at,PAIP1,poly(A) binding protein interacting protein 1,10605,PAIP1
210284_s_at,TAB2,TGF-beta activated kinase 1/MAP3K7 binding protein 2,23118,TAB2
210285_x_at,WTAP,Wilms tumor 1 associated protein,9589,WTAP
210286_s_at,SLC4A7,solute carrier family 4 member 7,9497,SLC4A7
210287_s_at,FLT1,fms related tyrosine kinase 1,2321,FLT1
210288_at,KLRG1,killer cell lectin like receptor G1,10219,KLRG1
210289_at,NAT8B///NAT8,"N-acetyltransferase 8B (putative, gene/pseudogene)///N-acetyltransferase 8 (putative)",51471///9027,NAT8B
210290_at,ZNF174,zinc finger protein 174,7727,ZNF174
210291_s_at,ZNF174,zinc finger protein 174,7727,ZNF174
210292_s_at,PCDH11Y///PCDH11X,protocadherin 11 Y-linked///protocadherin 11 X-linked,83259///27328,PCDH11Y
210293_s_at,SEC23B,"Sec23 homolog B, coat complex II component",10483,SEC23B
210294_at,TAPBP,TAP binding protein (tapasin),6892,TAPBP
210295_at,MAGEA10,MAGE family member A10,4109,MAGEA10
210296_s_at,PEX2,peroxisomal biogenesis factor 2,5828,PEX2
210297_s_at,MSMB,microseminoprotein beta,4477,MSMB
210298_x_at,FHL1,four and a half LIM domains 1,2273,FHL1
210299_s_at,FHL1,four and a half LIM domains 1,2273,FHL1
210300_at,REM1,RRAD and GEM like GTPase 1,28954,REM1
210301_at,XDH,xanthine dehydrogenase,7498,XDH
210302_s_at,MAB21L2,mab-21 like 2,10586,MAB21L2
210303_at,MAB21L2,mab-21 like 2,10586,MAB21L2
210304_at,PDE6B,phosphodiesterase 6B,5158,PDE6B
210305_at,PDE4DIP,phosphodiesterase 4D interacting protein,9659,PDE4DIP
210306_at,L3MBTL1,l(3)mbt-like 1 (Drosophila),26013,L3MBTL1
210307_s_at,KLHL25,kelch like family member 25,64410,KLHL25
210309_at,RECQL5,RecQ like helicase 5,9400,RECQL5
210310_s_at,FGF5,fibroblast growth factor 5,2250,FGF5
210311_at,FGF5,fibroblast growth factor 5,2250,FGF5
210312_s_at,IFT20,intraflagellar transport 20,90410,IFT20
210313_at,LILRA4,leukocyte immunoglobulin like receptor A4,23547,LILRA4
210314_x_at,TNFSF13,tumor necrosis factor superfamily member 13,8741,TNFSF13
210315_at,SYN2,synapsin II,6854,SYN2
210316_at,FLT4,fms related tyrosine kinase 4,2324,FLT4
210317_s_at,YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon,7531,YWHAE
210318_at,RBP3,retinol binding protein 3,5949,RBP3
210319_x_at,MSX2,msh homeobox 2,4488,MSX2
210320_s_at,DDX52,DEAD-box helicase 52,11056,DDX52
210321_at,GZMH,granzyme H,2999,GZMH
210322_x_at,UTY,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked",7404,UTY
210323_at,TEKT2,tektin 2,27285,TEKT2
210324_at,C8G,"complement component 8, gamma polypeptide",733,C8G
210325_at,CD1A,CD1a molecule,909,CD1A
210326_at,AGXT,alanine-glyoxylate aminotransferase,189,AGXT
210327_s_at,AGXT,alanine-glyoxylate aminotransferase,189,AGXT
210328_at,GNMT,glycine N-methyltransferase,27232,GNMT
210329_s_at,SGCD,sarcoglycan delta,6444,SGCD
210330_at,SGCD,sarcoglycan delta,6444,SGCD
210331_at,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",23072,HECW1
210332_at,ACHE,acetylcholinesterase (Cartwright blood group),43,ACHE
210333_at,NR5A1,nuclear receptor subfamily 5 group A member 1,2516,NR5A1
210334_x_at,BIRC5,baculoviral IAP repeat containing 5,332,BIRC5
210335_at,RASSF9,Ras association domain family member 9,9182,RASSF9
210336_x_at,MZF1,myeloid zinc finger 1,7593,MZF1
210337_s_at,ACLY,ATP citrate lyase,47,ACLY
210338_s_at,SNORD14D///SNORD14C///HSPA8,"small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8",85390///85389///3312,SNORD14D
210339_s_at,KLK2,kallikrein related peptidase 2,3817,KLK2
210340_s_at,CSF2RA,colony stimulating factor 2 receptor alpha subunit,1438,CSF2RA
210341_at,MYT1,myelin transcription factor 1,4661,MYT1
210342_s_at,TPO,thyroid peroxidase,7173,TPO
210343_s_at,SLC22A6,solute carrier family 22 member 6,9356,SLC22A6
210344_at,OSBPL7,oxysterol binding protein like 7,114881,OSBPL7
210345_s_at,DNAH9,dynein axonemal heavy chain 9,1770,DNAH9
210346_s_at,CLK4,CDC like kinase 4,57396,CLK4
210347_s_at,BCL11A,B-cell CLL/lymphoma 11A,53335,BCL11A
210348_at,SEPT4,septin 4,5414,SEPT4
210349_at,CAMK4,calcium/calmodulin dependent protein kinase IV,814,CAMK4
210350_x_at,ING1,inhibitor of growth family member 1,3621,ING1
210352_at,BRD8,bromodomain containing 8,10902,BRD8
210353_s_at,SLC6A2,solute carrier family 6 member 2,6530,SLC6A2
210354_at,IFNG,interferon gamma,3458,IFNG
210355_at,PTHLH,parathyroid hormone like hormone,5744,PTHLH
210356_x_at,MS4A1,membrane spanning 4-domains A1,931,MS4A1
210357_s_at,SMOX,spermine oxidase,54498,SMOX
210358_x_at,GATA2,GATA binding protein 2,2624,GATA2
210359_at,MTSS1,metastasis suppressor 1,9788,MTSS1
210360_s_at,MTSS1,metastasis suppressor 1,9788,MTSS1
210361_s_at,ELF2,E74 like ETS transcription factor 2,1998,ELF2
210362_x_at,PML,promyelocytic leukemia,5371,PML
210363_s_at,SCN2B,sodium voltage-gated channel beta subunit 2,6327,SCN2B
210364_at,SCN2B,sodium voltage-gated channel beta subunit 2,6327,SCN2B
210365_at,LOC101928269///LOC100506403///RUNX1,uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1,101928269///100506403///861,LOC101928269
210366_at,SLCO1B1,solute carrier organic anion transporter family member 1B1,10599,SLCO1B1
210367_s_at,PTGES,prostaglandin E synthase,9536,PTGES
210368_at,PCDHGA8,"protocadherin gamma subfamily A, 8",9708,PCDHGA8
210369_at,SWAP70,SWAP switching B-cell complex 70kDa subunit,23075,SWAP70
210370_s_at,LY9,lymphocyte antigen 9,4063,LY9
210371_s_at,RBBP4,"RB binding protein 4, chromatin remodeling factor",5928,RBBP4
210372_s_at,TPD52L1,tumor protein D52-like 1,7164,TPD52L1
210373_at,NPRL2,"NPR2-like, GATOR1 complex subunit",10641,NPRL2
210374_x_at,PTGER3,prostaglandin E receptor 3,5733,PTGER3
210375_at,PTGER3,prostaglandin E receptor 3,5733,PTGER3
210376_x_at,ELK1,"ELK1, ETS transcription factor",2002,ELK1
210377_at,ACSM3,acyl-CoA synthetase medium-chain family member 3,6296,ACSM3
210378_s_at,SSNA1,SS nuclear autoantigen 1,8636,SSNA1
210379_s_at,TLK1,tousled like kinase 1,9874,TLK1
210380_s_at,CACNA1G,calcium voltage-gated channel subunit alpha1 G,8913,CACNA1G
210381_s_at,CCKBR,cholecystokinin B receptor,887,CCKBR
210382_at,SCTR,secretin receptor,6344,SCTR
210383_at,SCN1A,sodium voltage-gated channel alpha subunit 1,6323,SCN1A
210384_at,PRMT2,protein arginine methyltransferase 2,3275,PRMT2
210385_s_at,ERAP1,endoplasmic reticulum aminopeptidase 1,51752,ERAP1
210386_s_at,MTX1,metaxin 1,4580,MTX1
210387_at,HIST1H2BJ///HIST1H2BG,"histone cluster 1, H2bj///histone cluster 1, H2bg",8970///8339,HIST1H2BJ
210388_at,PLCB2,phospholipase C beta 2,5330,PLCB2
210389_x_at,TUBD1,tubulin delta 1,51174,TUBD1
210390_s_at,CCL15-CCL14///CCL15,CCL15-CCL14 readthrough (NMD candidate)///C-C motif chemokine ligand 15,348249///6359,CCL15-CCL14
210391_at,NR6A1,nuclear receptor subfamily 6 group A member 1,2649,NR6A1
210392_x_at,NR6A1,nuclear receptor subfamily 6 group A member 1,2649,NR6A1
210393_at,LGR5,leucine rich repeat containing G protein-coupled receptor 5,8549,LGR5
210394_x_at,SSX4B///SSX4,SSX family member 4B///SSX family member 4,548313///6759,SSX4B
210395_x_at,MYL4,myosin light chain 4,4635,MYL4
210396_s_at,SMG1P5///BOLA2///SMG1P2,"SMG1P5, nonsense mediated mRNA decay associated PI3K related kinase pseudogene 5///bolA family member 2///SMG1P2, nonsense mediated mRNA decay associated PI3K related kinase pseudogene 2",595101///552900///440354,SMG1P5
210397_at,DEFB1,defensin beta 1,1672,DEFB1
210398_x_at,FUT6,fucosyltransferase 6,2528,FUT6
210399_x_at,FUT6,fucosyltransferase 6,2528,FUT6
210400_at,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,2905,GRIN2C
210401_at,P2RX1,purinergic receptor P2X 1,5023,P2RX1
210402_at,KCNJ1,potassium voltage-gated channel subfamily J member 1,3758,KCNJ1
210403_s_at,KCNJ1,potassium voltage-gated channel subfamily J member 1,3758,KCNJ1
210404_x_at,CAMK2B,calcium/calmodulin dependent protein kinase II beta,816,CAMK2B
210405_x_at,TNFRSF10B,TNF receptor superfamily member 10b,8795,TNFRSF10B
210406_s_at,WTH3DI///RAB6C///RAB6A,"RAB6C-like///RAB6C, member RAS oncogene family///RAB6A, member RAS oncogene family",150786///84084///5870,WTH3DI
210407_at,PPM1A,"protein phosphatase, Mg2+/Mn2+ dependent 1A",5494,PPM1A
210408_s_at,CPNE6,copine 6,9362,CPNE6
210409_at,AFDN-AS1,AFDN antisense RNA 1 (head to head),653483,AFDN-AS1
210410_s_at,MSH5-SAPCD1///SAPCD1///MSH5,MSH5-SAPCD1 readthrough (NMD candidate)///suppressor APC domain containing 1///mutS homolog 5,100532732///401251///4439,MSH5-SAPCD1
210411_s_at,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,2904,GRIN2B
210412_at,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,2904,GRIN2B
210413_x_at,SERPINB4///SERPINB3,serpin family B member 4///serpin family B member 3,6318///6317,SERPINB4
210414_at,FLRT1,fibronectin leucine rich transmembrane protein 1,23769,FLRT1
210415_s_at,ODF2,outer dense fiber of sperm tails 2,4957,ODF2
210416_s_at,CHEK2,checkpoint kinase 2,11200,CHEK2
210417_s_at,PI4KB,phosphatidylinositol 4-kinase beta,5298,PI4KB
210418_s_at,IDH3B,isocitrate dehydrogenase 3 (NAD(+)) beta,3420,IDH3B
210419_at,BARX2,BARX homeobox 2,8538,BARX2
210420_at,SLC24A1,solute carrier family 24 member 1,9187,SLC24A1
210421_s_at,SLC24A1,solute carrier family 24 member 1,9187,SLC24A1
210422_x_at,SLC11A1,solute carrier family 11 member 1,6556,SLC11A1
210423_s_at,SLC11A1,solute carrier family 11 member 1,6556,SLC11A1
210424_s_at,LOC101930583///GOLGA8B///GOLGA8A,uncharacterized LOC101930583///golgin A8 family member B///golgin A8 family member A,101930583///440270///23015,LOC101930583
210425_x_at,LOC101930583///GOLGA8B///GOLGA8A,uncharacterized LOC101930583///golgin A8 family member B///golgin A8 family member A,101930583///440270///23015,LOC101930583
210426_x_at,RORA,RAR related orphan receptor A,6095,RORA
210427_x_at,ANXA2,annexin A2,302,ANXA2
210428_s_at,HGS,hepatocyte growth factor-regulated tyrosine kinase substrate,9146,HGS
210429_at,RHD,Rh blood group D antigen,6007,RHD
210430_x_at,RHD,Rh blood group D antigen,6007,RHD
210431_at,ALPPL2,"alkaline phosphatase, placental like 2",251,ALPPL2
210432_s_at,SCN3A,sodium voltage-gated channel alpha subunit 3,6328,SCN3A
210433_at,POFUT1,protein O-fucosyltransferase 1,23509,POFUT1
210434_x_at,JTB,jumping translocation breakpoint,10899,JTB
210435_at,ARL17B///ARL17A,ADP ribosylation factor like GTPase 17B///ADP ribosylation factor like GTPase 17A,100506084///51326,ARL17B
210436_at,CCT8,chaperonin containing TCP1 subunit 8,10694,CCT8
210437_at,MAGEA9B///MAGEA9,MAGE family member A9B///MAGE family member A9,728269///4108,MAGEA9B
210438_x_at,TROVE2,TROVE domain family member 2,6738,TROVE2
210439_at,ICOS,inducible T-cell costimulator,29851,ICOS
210440_s_at,CDC14A,cell division cycle 14A,8556,CDC14A
210441_at,CDC14A,cell division cycle 14A,8556,CDC14A
210442_at,IL1RL1,interleukin 1 receptor like 1,9173,IL1RL1
210443_x_at,OGFR,opioid growth factor receptor,11054,OGFR
210444_at,NPY6R,neuropeptide Y receptor Y6 (pseudogene),4888,NPY6R
210445_at,FABP6,fatty acid binding protein 6,2172,FABP6
210446_at,GATA1,GATA binding protein 1,2623,GATA1
210447_at,GLUD2,glutamate dehydrogenase 2,2747,GLUD2
210448_s_at,P2RX5,purinergic receptor P2X 5,5026,P2RX5
210449_x_at,MAPK14,mitogen-activated protein kinase 14,1432,MAPK14
210450_at,IGHV5-78,immunoglobulin heavy variable 5-78 (pseudogene),28387,IGHV5-78
210451_at,PKLR,"pyruvate kinase, liver and RBC",5313,PKLR
210452_x_at,CYP4F2,cytochrome P450 family 4 subfamily F member 2,8529,CYP4F2
210453_x_at,ATP5L,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit G",10632,ATP5L
210454_s_at,KCNJ6,potassium voltage-gated channel subfamily J member 6,3763,KCNJ6
210455_at,R3HCC1L,R3H domain and coiled-coil containing 1 like,27291,R3HCC1L
210456_at,PCYT1B,"phosphate cytidylyltransferase 1, choline, beta",9468,PCYT1B
210457_x_at,HMGA1,high mobility group AT-hook 1,3159,HMGA1
210458_s_at,TANK,TRAF family member associated NFKB activator,10010,TANK
210459_at,PSMD4,"proteasome 26S subunit, non-ATPase 4",5710,PSMD4
210460_s_at,PSMD4,"proteasome 26S subunit, non-ATPase 4",5710,PSMD4
210461_s_at,ABLIM1,actin binding LIM protein 1,3983,ABLIM1
210462_at,BLZF1,basic leucine zipper nuclear factor 1,8548,BLZF1
210463_x_at,TRMT1,tRNA methyltransferase 1,55621,TRMT1
210464_at,LINC00588,long intergenic non-protein coding RNA 588,26138,LINC00588
210465_s_at,SNAPC3,small nuclear RNA activating complex polypeptide 3,6619,SNAPC3
210466_s_at,SERBP1,SERPINE1 mRNA binding protein 1,26135,SERBP1
210467_x_at,MAGEA12,MAGE family member A12,4111,MAGEA12
210469_at,DLG5,discs large MAGUK scaffold protein 5,9231,DLG5
210470_x_at,NONO,"non-POU domain containing, octamer-binding",4841,NONO
210471_s_at,KCNAB1,potassium voltage-gated channel subfamily A member regulatory beta subunit 1,7881,KCNAB1
210472_at,MT1G,metallothionein 1G,4495,MT1G
210473_s_at,ADGRA3,adhesion G protein-coupled receptor A3,166647,ADGRA3
210474_s_at,CDK11A///CDK11B,cyclin dependent kinase 11A///cyclin dependent kinase 11B,728642///984,CDK11A
210475_at,POU3F1,POU class 3 homeobox 1,5453,POU3F1
210476_s_at,PRLR,prolactin receptor,5618,PRLR
210477_x_at,MAPK8,mitogen-activated protein kinase 8,5599,MAPK8
210479_s_at,RORA,RAR related orphan receptor A,6095,RORA
210480_s_at,MYO6,myosin VI,4646,MYO6
210481_s_at,CLEC4M,C-type lectin domain family 4 member M,10332,CLEC4M
210482_x_at,MAP2K5,mitogen-activated protein kinase kinase 5,5607,MAP2K5
210483_at,LOC254896///TNFRSF10C,uncharacterized LOC254896///TNF receptor superfamily member 10c,254896///8794,LOC254896
210484_s_at,LOC254896///TNFRSF10C,uncharacterized LOC254896///TNF receptor superfamily member 10c,254896///8794,LOC254896
210486_at,ANKMY1,ankyrin repeat and MYND domain containing 1,51281,ANKMY1
210487_at,DNTT,DNA nucleotidylexotransferase,1791,DNTT
210491_at,,,,
210492_at,MFAP3L,microfibrillar associated protein 3 like,9848,MFAP3L
210493_s_at,MFAP3L,microfibrillar associated protein 3 like,9848,MFAP3L
210495_x_at,FN1,fibronectin 1,2335,FN1
210496_at,NAG18,NAG18 mRNA,57051,NAG18
210497_x_at,SSX2B///SSX2,SSX family member 2B///SSX family member 2,727837///6757,SSX2B
210498_at,CLTC,clathrin heavy chain,1213,CLTC
210499_s_at,PQBP1,polyglutamine binding protein 1,10084,PQBP1
210500_at,,,,
210501_x_at,EIF3K,eukaryotic translation initiation factor 3 subunit K,27335,EIF3K
210502_s_at,PPIE,peptidylprolyl isomerase E,10450,PPIE
210503_at,MAGEA11,MAGE family member A11,4110,MAGEA11
210504_at,KLF1,Kruppel like factor 1,10661,KLF1
210505_at,ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",131,ADH7
210506_at,FUT7,fucosyltransferase 7,2529,FUT7
210507_s_at,AVIL,advillin,10677,AVIL
210508_s_at,KCNQ2,potassium voltage-gated channel subfamily Q member 2,3785,KCNQ2
210510_s_at,NRP1,neuropilin 1,8829,NRP1
210511_s_at,INHBA,inhibin beta A subunit,3624,INHBA
210512_s_at,VEGFA,vascular endothelial growth factor A,7422,VEGFA
210513_s_at,VEGFA,vascular endothelial growth factor A,7422,VEGFA
210514_x_at,HLA-G,"major histocompatibility complex, class I, G",3135,HLA-G
210515_at,HNF1A,HNF1 homeobox A,6927,HNF1A
210516_at,FAM120A,family with sequence similarity 120A,23196,FAM120A
210517_s_at,AKAP12,A-kinase anchoring protein 12,9590,AKAP12
210518_at,CDH8,cadherin 8,1006,CDH8
210519_s_at,NQO1,NAD(P)H quinone dehydrogenase 1,1728,NQO1
210520_at,FETUB,fetuin B,26998,FETUB
210521_s_at,FETUB,fetuin B,26998,FETUB
210523_at,BMPR1B,bone morphogenetic protein receptor type 1B,658,BMPR1B
210524_x_at,,,,
210525_x_at,EFCAB11,EF-hand calcium binding domain 11,90141,EFCAB11
210527_x_at,TUBA3D///TUBA3C,tubulin alpha 3d///tubulin alpha 3c,113457///7278,TUBA3D
210528_at,MR1,"major histocompatibility complex, class I-related",3140,MR1
210529_s_at,LOC100294033///TCAF1,protein FAM115A-like///TRPM8 channel associated factor 1,100294033///9747,LOC100294033
210530_s_at,NR2C1,nuclear receptor subfamily 2 group C member 1,7181,NR2C1
210531_at,NR2C1,nuclear receptor subfamily 2 group C member 1,7181,NR2C1
210532_s_at,C14orf2,chromosome 14 open reading frame 2,9556,C14orf2
210533_at,MSH4,mutS homolog 4,4438,MSH4
210534_s_at,B9D1,B9 domain containing 1,27077,B9D1
210535_at,B9D1,B9 domain containing 1,27077,B9D1
210536_s_at,SPAM1,sperm adhesion molecule 1,6677,SPAM1
210537_s_at,TADA2A,transcriptional adaptor 2A,6871,TADA2A
210538_s_at,BIRC3,baculoviral IAP repeat containing 3,330,BIRC3
210539_at,TTLL5,tubulin tyrosine ligase like 5,23093,TTLL5
210540_s_at,B4GALT4,"beta-1,4-galactosyltransferase 4",8702,B4GALT4
210541_s_at,TRIM27,tripartite motif containing 27,5987,TRIM27
210542_s_at,SLCO3A1,solute carrier organic anion transporter family member 3A1,28232,SLCO3A1
210543_s_at,PRKDC,"protein kinase, DNA-activated, catalytic polypeptide",5591,PRKDC
210544_s_at,ALDH3A2,aldehyde dehydrogenase 3 family member A2,224,ALDH3A2
210545_at,ITSN2,intersectin 2,50618,ITSN2
210546_x_at,CTAG1A///CTAG1B,cancer/testis antigen 1A///cancer/testis antigen 1B,246100///1485,CTAG1A
210547_x_at,ICA1,islet cell autoantigen 1,3382,ICA1
210548_at,CCL23,C-C motif chemokine ligand 23,6368,CCL23
210549_s_at,CCL23,C-C motif chemokine ligand 23,6368,CCL23
210550_s_at,RASGRF1,Ras protein specific guanine nucleotide releasing factor 1,5923,RASGRF1
210551_s_at,ASMT,acetylserotonin O-methyltransferase,438,ASMT
210552_s_at,RALGPS1,Ral GEF with PH domain and SH3 binding motif 1,9649,RALGPS1
